key,name,iata-code,operational-scope,city,country,website,email-address,contact-phone-number
airport-21,"Aeropuerto Pekin",UPD,INTERNATIONAL,"<marquee>Hacked</marquee>","Canada","https://AirportWeb.com","airport@gmail.com","123456789"
airport-22,"Aeropuerto Pekin",WQS,INTERNATIONAL,"<script>alert(‘Hacked!’);</script>","Canada","https://AirportWeb.com","airport@gmail.com","123456789"
airport-23,"Aeropuerto Pekin",ZEV,INTERNATIONAL,"' or 'A' = 'A ","Canada","https://AirportWeb.com","airport@gmail.com","123456789"
# country standard variations
airport-24,"Aeropuerto Pekin",YJO,INTERNATIONAL,"Ciudad Rodrigo","L","https://AirportWeb.com","airport@gmail.com","123456789"
airport-25,"Aeropuerto Pekin",PXI,INTERNATIONAL,"Ciudad Rodrigo","Lorem ipsum dolor sit amet, consectetur adipiscin","https://AirportWeb.com","airport@gmail.com","123456789"
airport-26,"Aeropuerto Pekin",IPB,INTERNATIONAL,"Ciudad Rodrigo","Lorem ipsum dolor sit amet, consectetur adipiscing","https://AirportWeb.com","airport@gmail.com","123456789"
airport-27,"Aeropuerto Pekin",CLV,INTERNATIONAL,"Ciudad Rodrigo","โลเร็ม อิปซัม","https://AirportWeb.com","airport@gmail.com","123456789"
airport-28,"Aeropuerto Pekin",IWK,INTERNATIONAL,"Ciudad Rodrigo","لوريم إيبسوم","https://AirportWeb.com","airport@gmail.com","123456789"
airport-29,"Aeropuerto Pekin",AOJ,INTERNATIONAL,"Ciudad Rodrigo","洛伦·伊普森","https://AirportWeb.com","airport@gmail.com","123456789"
airport-30,"Aeropuerto Pekin",ZQQ,INTERNATIONAL,"Ciudad Rodrigo","<marquee>Hacked</marquee>","https://AirportWeb.com","airport@gmail.com","123456789"
airport-31,"Aeropuerto Pekin",KLX,INTERNATIONAL,"Ciudad Rodrigo","<script>alert(‘Hacked!’);</script>","https://AirportWeb.com","airport@gmail.com","123456789"
airport-32,"Aeropuerto Pekin",SRM,INTERNATIONAL,"Ciudad Rodrigo","' or 'A' = 'A ","https://AirportWeb.com","airport@gmail.com","123456789"
# website standard variations
airport-33,"Aeropuerto Pekin",FHJ,INTERNATIONAL,"Ciudad Rodrigo","Canada","http://a","airport@gmail.com","123456789"
airport-34,"Aeropuerto Pekin",MVA,INTERNATIONAL,"Ciudad Rodrigo","Canada","http://a.b","airport@gmail.com","123456789"
airport-35,"Aeropuerto Pekin",PEA,INTERNATIONAL,"Ciudad Rodrigo","Canada","http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/","airport@gmail.com","123456789"
airport-36,"Aeropuerto Pekin",LLB,INTERNATIONAL,"Ciudad Rodrigo","Canada","http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X","airport@gmail.com","123456789"
airport-37,"Aeropuerto Pekin",JRO,INTERNATIONAL,"Ciudad Rodrigo","Canada","https://www.lorem-ipsum.org","airport@gmail.com","123456789"
airport-38,"Aeropuerto Pekin",BLL,INTERNATIONAL,"Ciudad Rodrigo","Canada","http://www.lorem-ipsum.org","airport@gmail.com","123456789"
airport-39,"Aeropuerto Pekin",NGD,INTERNATIONAL,"Ciudad Rodrigo","Canada","http://www.lorem-ipsum.org/dolor/sit.html","airport@gmail.com","123456789"
airport-40,"Aeropuerto Pekin",AWO,INTERNATIONAL,"Ciudad Rodrigo","Canada","http://www.lorem-ipsum.org/dolor/sit.html#dolor","airport@gmail.com","123456789"
airport-41,"Aeropuerto Pekin",STE,INTERNATIONAL,"Ciudad Rodrigo","Canada","http://example.org?a=1&b=2","airport@gmail.com","123456789"
airport-42,"Aeropuerto Pekin",GGA,INTERNATIONAL,"Ciudad Rodrigo","Canada","http://example.org?","airport@gmail.com","123456789"
airport-43,"Aeropuerto Pekin",PXZ,INTERNATIONAL,"Ciudad Rodrigo","Canada","http://example.org?a","airport@gmail.com","123456789"
airport-44,"Aeropuerto Pekin",IIP,INTERNATIONAL,"Ciudad Rodrigo","Canada","http://example.org?a&b","airport@gmail.com","123456789"
airport-45,"Aeropuerto Pekin",UHF,INTERNATIONAL,"Ciudad Rodrigo","Canada","http://example.org/","airport@gmail.com","123456789"
airport-46,"Aeropuerto Pekin",DOX,INTERNATIONAL,"Ciudad Rodrigo","Canada","http://example.org/a","airport@gmail.com","123456789"
airport-47,"Aeropuerto Pekin",ENE,INTERNATIONAL,"Ciudad Rodrigo","Canada","http://example.org/a/b","airport@gmail.com","123456789"
airport-48,"Aeropuerto Pekin",QBI,INTERNATIONAL,"Ciudad Rodrigo","Canada","http://example.org/a/b?","airport@gmail.com","123456789"
airport-49,"Aeropuerto Pekin",IPS,INTERNATIONAL,"Ciudad Rodrigo","Canada","http://example.org/a/b?a&b","airport@gmail.com","123456789"
# email standard variations
airport-50,"Aeropuerto Pekin",BKN,INTERNATIONAL,"Ciudad Rodrigo","Canada","https://AirportWeb.com","a@b.e","123456789"
airport-51,"Aeropuerto Pekin",RLK,INTERNATIONAL,"Ciudad Rodrigo","Canada","https://AirportWeb.com","a@b.es","123456789"
airport-52,"Aeropuerto Pekin",GRZ,INTERNATIONAL,"Ciudad Rodrigo","Canada","https://AirportWeb.com","a@b.esx","123456789"
airport-53,"Aeropuerto Pekin",ZGA,INTERNATIONAL,"Ciudad Rodrigo","Canada","https://AirportWeb.com","lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu","123456789"
airport-54,"Aeropuerto Pekin",ZSW,INTERNATIONAL,"Ciudad Rodrigo","Canada","https://AirportWeb.com","lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org","123456789"
# phoneNumber standard variations
airport-65,"Aeropuerto Pekin",MCI,INTERNATIONAL,"Ciudad Rodrigo","Canada","https://AirportWeb.com","airport@gmail.com","+93195385211625"
airport-66,"Aeropuerto Pekin",VQR,INTERNATIONAL,"Ciudad Rodrigo","Canada","https://AirportWeb.com","airport@gmail.com","046695448717090"
airport-67,"Aeropuerto Pekin",FNU,INTERNATIONAL,"Ciudad Rodrigo","Canada","https://AirportWeb.com","airport@gmail.com","+9777752"
airport-68,"Aeropuerto Pekin",ZXS,INTERNATIONAL,"Ciudad Rodrigo","Canada","https://AirportWeb.com","airport@gmail.com","091939"
airport-69,"Aeropuerto Pekin",HTU,INTERNATIONAL,"Ciudad Rodrigo","Canada","https://AirportWeb.com","airport@gmail.com","123456789"
airport-70,"Aeropuerto Pekin",JFK,INTERNATIONAL,"Ciudad Rodrigo","Canada","https://AirportWeb.com","airport@gmail.com","+503824626834918"
